数据库表（TH开头为泰国数据表）     
------------------------------ ------------------------------------------------------------ 
CD_CUST_OLD                    			老系统报关行表（100.82迁移使用）                                          
CD_DATE_WEEK_YEAR              		海尔日历信息表-20141105创建                                           
CD_DB_LINK                     			接口数据源配置表                                                     
CD_DECLARATION_CUSTOMER        	报关单客户对照关系表                                                   
CD_DEPARTMENT                  			组织类型（0,工厂、1,经营体、2,权限部门）                                      
CD_DOC_CUST_INFO               		单证票据预设信息维护                                                   
CD_EMPLOYEE_TO_DEPT           		员工部门对应表                                                      
CD_EMPLOYEE_TO_PRODUCTTYPE     	员工对应产品组表                                                     
CD_EVALUATE_SET                			权限组评价配置                                                      
CD_EXCHANGE_RATE               		汇率表                                                          
CD_EXPENSE                     			费用科目信息（港杂费、海运费、铁路费、空运费科目）                                                       
CD_FOREIGN_EXCHANGE_BUDGET     	出口创汇预算导入表                                                    
CD_FOREIGN_EXCHANGE_DAY        	出口创汇日表                                                       
CD_FOREIGN_EXCHANGE_DEP        	出口创汇预算导入配置表                                                  
CD_GSIS_CONDITION_SET          		备件订单CONDITION配置表                                             
CD_GUARANTEES                  			保函维护      	                                                   
CD_GUARANTEES_X                		保函维护                                                         
CD_MATERIAL                    			物料主数据                                                        
CD_MATERIAL_COMPLETE           		套机物料表                                                        
CD_MATERIAL_OFF                			物料下市型号表                                                      
CD_MATERIAL_SPARE_PARTS        		散件备案信息                                                       
CD_MDM_MARKET_MICRO            		MDM小微数据                                                      
CD_MONEY_FORWARD_RATE          	远期汇率表  create time 20141015                                  
CD_MONEY_RATE                  			即期汇率表                                                        
CD_MONEY_RATE_NEW              		即期汇率维护表                                                      
CD_MQM_DEPT                    			SIGMA系统部门信息表                                                 
CD_NEW_FOREIGN_EXCHANGE        	出口创汇新日表(金额单位:美元)                                             
CD_ORDER_AUDIT_SET             		订单评审配置                                                       
CD_ORG                         				组织信息                                                         
CD_PAYMENT_EXTENDS             		付款条件                                                         
CD_PAYMENT_TERMS               		付款条件                                                         
CD_PORT                        				港口信息                                                         
CD_PORT_GROUP                  			港口分组对照表                                                      
CD_PORT_PERSON                 			物流经理与港口分组对照表                                                 
CD_PROD_TYPE                   			产品大类                                                         
CD_RECORD_MATERIAL             		备案物料表                                                        
CD_SALE_ORG                    			销售组织                                                         
CD_SMALL_MICRO                 			小微信息表(小微与销售大区对应关系)                                           
CD_SPECIAL_CNT                 			标准箱方案主表                                                      
CD_SPECIAL_CNT_ITEM            		标准箱明细表                                                       
CD_TECH_ORDER                  			特技单表                                                         
CD_TECH_ORDER_CONFIG           		特技单配置表CONFIG                                                 
CD_TECH_ORDER_ITEM             		特技单明细                                                        
CD_TECH_ORDER_OPTIONS          		选择项目表                                                        
CD_TECH_ORDER_VERDICT          		特技单结论履历表                                                     
CD_TMOD_CONFIG                 			T模式配置                                                        
CD_TMOD_SET                    			T模式配置表                                                       
CD_VENDOR                      			供应商或船公司信息0=船公司，1=报关行，2=商检代理商                                 
CD_WASHER_REPORT_ORDER_BY      	洗衣机创汇报表汇总排序配置表                                               
CD_WATER_BILL                  			水单维护                                                         
CD_WATER_BILL_HOPE             		水单表(hope系统获取)                                                
CM_CONTRACT                    			合同主表                                                         
CM_CONTRACT_CONDITION          		合同条件表                                                        
CM_CONTRACT_ITEM               		合同明细表                                                        
COMMERCIAL_INVOICE             		商业发票表                                                        
CONTAINERNUMBER_DATA           		箱子详情信息                                                       
EDI_CONTAINERNUMBER            		有更新的箱子                                                       
EDI_INFO                       				Intra回传订舱信息                                                  
ET_PROD_PRICE                  			备件产品定价单                                                      
EXPORT_INVOICE                 			出口商品专用发票——主表                                                 
EXPORT_INVOICE_DETAIL          		出口商品专用发票——明细表                                                
EXP_BID                        				中标信息主表                                                       
EXP_BID_DETAIL                 			中标信息明细表，海运、空运等等共用同一个明细                                       
FEE_FILE                       				费用审核上传的文件                                                    
GE_INVOICE_MAIN                			GE发票（箱单）主表                                                   
HSP_INTERFACE_LOG              		HSP预收转应收抛帐接口日志                                               
IF_BCC_FEE                    		 		BCC费用接口表                                                     
IF_NO_CUSE_HOPE                			回款信息(HOPE获取)                                                 
KD_ORDER                       				快递单                                                          
LC_APPENDIX                    			信用证附件卡表                                                      
LC_LETTERCREDIT                			信用证                                                          
LC_LETTERCREDIT_HISTORY        		信用证改证记录                                                      
LOG_PORT_FEE_CHECK             		港杂费预实对比主表                                                    
LOG_SCHEDULES                  			定时任务日志表LOG_SCHEDULES                                         
MARK_TAX_BACK                  			哪些订单需要生成代理结算清单                                               
MATERIAL_DESCRIBE_WM           		物料描述表 包括货描、物料描述                                              
MESSAGE                        				站内信，系统公告表                                                    
MESSAGE_SEND_STATE             		站内信，系统 发送状态表                                                 
OE_APPRAISE_ITEM               			订单修改申请单审批表                                                   
OE_ORDER_BACK_CONF             		订单修改后重做节点配置表
								订单修改申请单评审通过后，需要根据订单所处的T模式状态决定订单需要重做的工作流节点       
OE_ORDER_BACK_CONF_ITEM        	订单修改后重做节点配置表明细                                               
OE_ORDER_EDIT                  			订单修改申请单                                                      
OE_ORDER_EDIT_NODE             		订单修改申请单修改节点明细  
OE_TYPE_BACK_NODE_CONF         	修改类别与重做节点配置，一对多。一个类别可能影响到好多个节点                               
OE_TYPE_CONF                   			订单修改类别－－基础数据                                                 
OE_TYPE_REFER_TABLE            		修改涉及到的表                                                      
