系统始发港,系统目的港,箱型,百分比,系统船公司,ALL IN 海运价,有效期开始时间,截止时间时间, 预算费用,
大连,阿拉木图,40HC,100%,中创物流股份有限公司,2840,2020/1/1,2020/1/31,2840,
大连,阿拉木图,40HC,100%,中创物流股份有限公司,2840,2020/2/1,2020/3/31,2840,
大连,阿拉木图,40HC,100%,中创物流股份有限公司,3230,2020/4/1,2020/6/30,3230,
大连,阿帕帕,20GP,20%,CMA,1440.74,2020/1/1,2020/2/29,288.148,
大连,阿帕帕,40GP,20%,CMA,2031.48,2020/1/1,2020/2/29,406.296,
大连,阿帕帕,40HC,20%,CMA,2031.48,2020/1/1,2020/2/29,406.296,
大连,阿帕帕,45HC,20%,CMA,2098.48,2020/1/1,2020/2/29,419.696,
大连,阿帕帕,20GP,60%,CMA,2023,2020/3/1,2020/6/30,1213.8,
大连,阿帕帕,40GP,60%,CMA,2330,2020/3/1,2020/6/30,1398,
大连,阿帕帕,40HC,60%,CMA,2330,2020/3/1,2020/6/30,1398,
大连,阿帕帕,45HC,60%,CMA,2376,2020/3/1,2020/6/30,1425.6,
大连,阿帕帕,20GP,60%,CMA,1733,2020/7/1,2020/9/30,1039.8,
大连,阿帕帕,40GP,60%,CMA,1750,2020/7/1,2020/9/30,1050,
大连,阿帕帕,40HC,60%,CMA,1750,2020/7/1,2020/9/30,1050,
大连,阿帕帕,45HC,60%,CMA,1796,2020/7/1,2020/9/30,1077.6,
大连,阿帕帕,20GP,80%,MAERSK,1641,2020/1/1,2020/2/29,1312.8,
大连,阿帕帕,40GP,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
大连,阿帕帕,40HC,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
大连,阿帕帕,45HC,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
大连,阿帕帕,20GP,40%,MAERSK,1580,2020/3/1,2020/6/30,632,
大连,阿帕帕,40GP,40%,MAERSK,2412,2020/3/1,2020/6/30,964.8,
大连,阿帕帕,40HC,40%,MAERSK,2412,2020/3/1,2020/6/30,964.8,
大连,阿帕帕,45HC,40%,MAERSK,2511,2020/3/1,2020/6/30,1004.4,
大连,阿帕帕,20GP,40%,MAERSK,1265,2020/7/1,2020/9/30,506,
大连,阿帕帕,40GP,40%,MAERSK,1780,2020/7/1,2020/9/30,712,
大连,阿帕帕,40HC,40%,MAERSK,1780,2020/7/1,2020/9/30,712,
大连,阿帕帕,45HC,40%,MAERSK,1879,2020/7/1,2020/9/30,751.6,
大连,安特卫普,20GP,40%,COSCO,650,2020/1/1,2020/3/31,260,
大连,安特卫普,40HC,40%,COSCO,1300,2020/1/1,2020/3/31,520,
大连,安特卫普,20GP,40%,COSCO,650,2020/4/1,2020/6/30,260,
大连,安特卫普,40GP,40%,COSCO,1300,2020/4/1,2020/6/30,520,
大连,安特卫普,40HC,40%,COSCO,1300,2020/4/1,2020/6/30,520,
大连,安特卫普,20GP,40%,COSCO,707,2020/7/1,2020/9/30,282.8,707
大连,安特卫普,40GP,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
大连,安特卫普,40HC,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
大连,安特卫普,20GP,20%,EVERGREEN,600,2020/1/1,2020/3/31,120,
大连,安特卫普,40HC,20%,EVERGREEN,1200,2020/1/1,2020/3/31,240,
大连,安特卫普,20GP,20%,EVERGREEN,600,2020/4/1,2020/6/30,120,
大连,安特卫普,40GP,20%,EVERGREEN,1200,2020/4/1,2020/6/30,240,
大连,安特卫普,40HC,20%,EVERGREEN,1200,2020/4/1,2020/6/30,240,
大连,安特卫普,20GP,20%,EVERGREEN,600,2020/7/1,2020/9/30,120,
大连,安特卫普,40GP,20%,EVERGREEN,1200,2020/7/1,2020/9/30,240,
大连,安特卫普,40HC,20%,EVERGREEN,1200,2020/7/1,2020/9/30,240,
大连,安特卫普,20GP,20%,HAPAG-LLOYD,662.5,2020/1/1,2020/3/31,132.5,
大连,安特卫普,40HC,20%,HAPAG-LLOYD,1325,2020/1/1,2020/3/31,265,
大连,安特卫普,20GP,20%,HAPAG-LLOYD,662.5,2020/4/1,2020/6/30,132.5,
大连,安特卫普,40GP,20%,HAPAG-LLOYD,1325,2020/4/1,2020/6/30,265,
大连,安特卫普,40HC,20%,HAPAG-LLOYD,1325,2020/4/1,2020/6/30,265,
大连,安特卫普,20GP,20%,HAPAG-LLOYD,542.5,2020/7/1,2020/9/30,108.5,
大连,安特卫普,40GP,20%,HAPAG-LLOYD,1085,2020/7/1,2020/9/30,217,
大连,安特卫普,40HC,20%,HAPAG-LLOYD,1085,2020/7/1,2020/9/30,217,
大连,安特卫普,20GP,20%,MSC,712.5,2020/1/1,2020/3/31,142.5,
大连,安特卫普,40HC,20%,MSC,1425,2020/1/1,2020/3/31,285,
大连,安特卫普,20GP,20%,MSC,749.5,2020/4/1,2020/6/30,149.9,
大连,安特卫普,40GP,20%,MSC,1499,2020/4/1,2020/6/30,299.8,
大连,安特卫普,40HC,20%,MSC,1499,2020/4/1,2020/6/30,299.8,
大连,安特卫普,20GP,20%,MSC,551.5,2020/7/1,2020/9/30,110.3,
大连,安特卫普,40GP,20%,MSC,1103,2020/7/1,2020/9/30,220.6,
大连,安特卫普,40HC,20%,MSC,1103,2020/7/1,2020/9/30,220.6,
大连,敖德萨,20GP,50%,CMA,762.5,2020/1/1,2020/3/31,381.25,
大连,敖德萨,40GP,50%,CMA,1525,2020/1/1,2020/3/31,762.5,
大连,敖德萨,40HC,50%,CMA,1525,2020/1/1,2020/3/31,762.5,
大连,敖德萨,20GP,50%,CMA,777.5,2020/4/1,2020/6/30,388.75,
大连,敖德萨,40GP,50%,CMA,1555,2020/4/1,2020/6/30,777.5,
大连,敖德萨,40HC,50%,CMA,1555,2020/4/1,2020/6/30,777.5,
大连,敖德萨,20GP,50%,CMA,597.5,2020/7/1,2020/9/30,298.75,
大连,敖德萨,40GP,50%,CMA,1195,2020/7/1,2020/9/30,597.5,
大连,敖德萨,40HC,50%,CMA,1195,2020/7/1,2020/9/30,597.5,
大连,敖德萨,20GP,50%,MSC,797.5,2020/1/1,2020/3/31,398.75,
大连,敖德萨,40GP,50%,MSC,1595,2020/1/1,2020/3/31,797.5,
大连,敖德萨,40HC,50%,MSC,1595,2020/1/1,2020/3/31,797.5,
大连,敖德萨,20GP,50%,MSC,834.5,2020/4/1,2020/6/30,417.25,
大连,敖德萨,40GP,50%,MSC,1669,2020/4/1,2020/6/30,834.5,
大连,敖德萨,40HC,50%,MSC,1669,2020/4/1,2020/6/30,834.5,
大连,敖德萨,20GP,50%,MSC,636.5,2020/7/1,2020/9/30,318.25,
大连,敖德萨,40GP,50%,MSC,1273,2020/7/1,2020/9/30,636.5,
大连,敖德萨,40HC,50%,MSC,1273,2020/7/1,2020/9/30,636.5,
大连,奥尔胡斯,20GP,70%,COSCO,725,2020/1/1,2020/3/31,507.5,
大连,奥尔胡斯,40GP,70%,COSCO,1450,2020/1/1,2020/3/31,1015,
大连,奥尔胡斯,40HC,70%,COSCO,1450,2020/1/1,2020/3/31,1015,
大连,奥尔胡斯,20GP,70%,COSCO,725,2020/4/1,2020/6/30,507.5,
大连,奥尔胡斯,40GP,70%,COSCO,1450,2020/4/1,2020/6/30,1015,
大连,奥尔胡斯,40HC,70%,COSCO,1450,2020/4/1,2020/6/30,1015,
大连,奥尔胡斯,20GP,70%,COSCO,782,2020/7/1,2020/9/30,547.4,782
大连,奥尔胡斯,40GP,70%,COSCO,1564,2020/7/1,2020/9/30,1094.8,1564
大连,奥尔胡斯,40HC,70%,COSCO,1564,2020/7/1,2020/9/30,1094.8,1564
大连,奥尔胡斯,20GP,30%,MSC,712.5,2020/1/1,2020/3/31,213.75,
大连,奥尔胡斯,40GP,30%,MSC,1425,2020/1/1,2020/3/31,427.5,
大连,奥尔胡斯,40HC,30%,MSC,1425,2020/1/1,2020/3/31,427.5,
大连,奥尔胡斯,20GP,30%,MSC,749.5,2020/4/1,2020/6/30,224.85,
大连,奥尔胡斯,40GP,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
大连,奥尔胡斯,40HC,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
大连,奥尔胡斯,20GP,30%,MSC,551.5,2020/7/1,2020/9/30,165.45,
大连,奥尔胡斯,40GP,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
大连,奥尔胡斯,40HC,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
大连,巴勒莫,20GP,100%,MSC,987.5,2020/1/1,2020/3/31,987.5,
大连,巴勒莫,40GP,100%,MSC,1975,2020/1/1,2020/3/31,1975,
大连,巴勒莫,40HC,100%,MSC,1975,2020/1/1,2020/3/31,1975,
大连,巴勒莫,20GP,100%,MSC,1024.5,2020/4/1,2020/6/30,1024.5,
大连,巴勒莫,40GP,100%,MSC,2049,2020/4/1,2020/6/30,2049,
大连,巴勒莫,40HC,100%,MSC,2049,2020/4/1,2020/6/30,2049,
大连,巴勒莫,20GP,100%,MSC,826.5,2020/7/1,2020/9/30,826.5,
大连,巴勒莫,40GP,100%,MSC,1653,2020/7/1,2020/9/30,1653,
大连,巴勒莫,40HC,100%,MSC,1653,2020/7/1,2020/9/30,1653,
大连,巴塞罗那,20GP,30%,COSCO,625,2020/1/1,2020/3/31,187.5,
大连,巴塞罗那,40HC,30%,COSCO,1250,2020/1/1,2020/3/31,375,
大连,巴塞罗那,20GP,30%,COSCO,651,2020/4/1,2020/6/30,195.3,
大连,巴塞罗那,40GP,30%,COSCO,1302,2020/4/1,2020/6/30,390.6,
大连,巴塞罗那,40HC,30%,COSCO,1302,2020/4/1,2020/6/30,390.6,
大连,巴塞罗那,20GP,30%,COSCO,664,2020/7/1,2020/9/30,199.2,664
大连,巴塞罗那,40GP,30%,COSCO,1328,2020/7/1,2020/9/30,398.4,1328
大连,巴塞罗那,40HC,30%,COSCO,1328,2020/7/1,2020/9/30,398.4,1328
大连,巴塞罗那,20GP,30%,HAPAG-LLOYD,622.5,2020/1/1,2020/3/31,186.75,
大连,巴塞罗那,40HC,30%,HAPAG-LLOYD,1245,2020/1/1,2020/3/31,373.5,
大连,巴塞罗那,20GP,30%,HAPAG-LLOYD,622.5,2020/4/1,2020/6/30,186.75,
大连,巴塞罗那,40GP,30%,HAPAG-LLOYD,1245,2020/4/1,2020/6/30,373.5,
大连,巴塞罗那,40HC,30%,HAPAG-LLOYD,1245,2020/4/1,2020/6/30,373.5,
大连,巴塞罗那,20GP,30%,HAPAG-LLOYD,507.5,2020/7/1,2020/9/30,152.25,
大连,巴塞罗那,40GP,30%,HAPAG-LLOYD,1015,2020/7/1,2020/9/30,304.5,
大连,巴塞罗那,40HC,30%,HAPAG-LLOYD,1015,2020/7/1,2020/9/30,304.5,
大连,巴塞罗那,20GP,40%,MAERSK,625,2020/1/1,2020/3/31,250,
大连,巴塞罗那,40HC,40%,MAERSK,1250,2020/1/1,2020/3/31,500,
大连,巴塞罗那,20GP,40%,MAERSK,647,2020/4/1,2020/6/30,258.8,
大连,巴塞罗那,40GP,40%,MAERSK,1294,2020/4/1,2020/6/30,517.6,
大连,巴塞罗那,40HC,40%,MAERSK,1294,2020/4/1,2020/6/30,517.6,
大连,巴塞罗那,20GP,40%,MAERSK,464.5,2020/7/1,2020/9/30,185.8,
大连,巴塞罗那,40GP,40%,MAERSK,929,2020/7/1,2020/9/30,371.6,
大连,巴塞罗那,40HC,40%,MAERSK,929,2020/7/1,2020/9/30,371.6,
大连,巴生北港,20GP,100%,CMA,355,2020/3/1,2020/6/30,355,
大连,巴生北港,40GP,100%,CMA,485,2020/3/1,2020/6/30,485,
大连,巴生北港,40HC,100%,CMA,485,2020/3/1,2020/6/30,485,
大连,巴生北港,20GP,100%,CMA,285,2020/7/1,2020/9/30,285,
大连,巴生北港,40GP,100%,CMA,345,2020/7/1,2020/9/30,345,
大连,巴生北港,40HC,100%,CMA,345,2020/7/1,2020/9/30,345,
大连,巴生西港,20GP,0%,CMA,355.2147765,2020/1/1,2020/2/29,0,
大连,巴生西港,40GP,0%,CMA,689.9591144,2020/1/1,2020/2/29,0,
大连,巴生西港,40HC,0%,CMA,689.9591144,2020/1/1,2020/2/29,0,
大连,巴生西港,20GP,100%,COSCO,450,2020/1/1,2020/2/29,450,
大连,巴生西港,40GP,100%,COSCO,550,2020/1/1,2020/2/29,550,
大连,巴生西港,40HC,100%,COSCO,550,2020/1/1,2020/2/29,550,
大连,巴生西港,20GP,100%,COSCO,408,2020/3/1,2020/6/30,408,
大连,巴生西港,40GP,100%,COSCO,466,2020/3/1,2020/6/30,466,
大连,巴生西港,40HC,100%,COSCO,466,2020/3/1,2020/6/30,466,
大连,巴生西港,20GP,100%,COSCO,365,2020/7/1,2020/9/30,365,
大连,巴生西港,40GP,100%,COSCO,380,2020/7/1,2020/9/30,380,
大连,巴生西港,40HC,100%,COSCO,380,2020/7/1,2020/9/30,380,
大连,比雷埃夫斯,20GP,70%,COSCO,625,2020/1/1,2020/3/31,437.5,
大连,比雷埃夫斯,40GP,70%,COSCO,1250,2020/1/1,2020/3/31,875,
大连,比雷埃夫斯,40HC,70%,COSCO,1250,2020/1/1,2020/3/31,875,
大连,比雷埃夫斯,20GP,70%,COSCO,651,2020/4/1,2020/6/30,455.7,
大连,比雷埃夫斯,40GP,70%,COSCO,1302,2020/4/1,2020/6/30,911.4,
大连,比雷埃夫斯,40HC,70%,COSCO,1302,2020/4/1,2020/6/30,911.4,
大连,比雷埃夫斯,20GP,70%,COSCO,664,2020/7/1,2020/9/30,464.8,664
大连,比雷埃夫斯,40GP,70%,COSCO,1328,2020/7/1,2020/9/30,929.6,1328
大连,比雷埃夫斯,40HC,70%,COSCO,1328,2020/7/1,2020/9/30,929.6,1328
大连,比雷埃夫斯,20GP,30%,HAPAG-LLOYD,697.5,2020/1/1,2020/3/31,209.25,
大连,比雷埃夫斯,40GP,30%,HAPAG-LLOYD,1395,2020/1/1,2020/3/31,418.5,
大连,比雷埃夫斯,40HC,30%,HAPAG-LLOYD,1395,2020/1/1,2020/3/31,418.5,
大连,比雷埃夫斯,20GP,30%,HAPAG-LLOYD,697.5,2020/4/1,2020/6/30,209.25,
大连,比雷埃夫斯,40GP,30%,HAPAG-LLOYD,1395,2020/4/1,2020/6/30,418.5,
大连,比雷埃夫斯,40HC,30%,HAPAG-LLOYD,1395,2020/4/1,2020/6/30,418.5,
大连,比雷埃夫斯,20GP,30%,HAPAG-LLOYD,582.5,2020/7/1,2020/9/30,174.75,
大连,比雷埃夫斯,40GP,30%,HAPAG-LLOYD,1165,2020/7/1,2020/9/30,349.5,
大连,比雷埃夫斯,40HC,30%,HAPAG-LLOYD,1165,2020/7/1,2020/9/30,349.5,
大连,博多,20GP,50%,COSCO,345,2020/1/1,2020/2/29,172.5,
大连,博多,40GP,50%,COSCO,495,2020/1/1,2020/2/29,247.5,
大连,博多,40HC,50%,COSCO,495,2020/1/1,2020/2/29,247.5,
大连,博多,20GP,100%,COSCO,385,2020/3/1,2021/2/28,385,
大连,博多,40GP,100%,COSCO,495,2020/3/1,2021/2/28,495,
大连,博多,40HC,100%,COSCO,495,2020/3/1,2021/2/28,495,
大连,博多,20GP,50%,SITC,310,2020/1/1,2020/2/29,155,
大连,博多,40GP,50%,SITC,510,2020/1/1,2020/2/29,255,
大连,博多,40HC,50%,SITC,510,2020/1/1,2020/2/29,255,
大连,不莱梅哈芬,20GP,30%,COSCO,775,2020/1/1,2020/3/31,232.5,
大连,不莱梅哈芬,40HC,30%,COSCO,1550,2020/1/1,2020/3/31,465,
大连,不莱梅哈芬,20GP,30%,COSCO,775,2020/4/1,2020/6/30,232.5,
大连,不莱梅哈芬,40GP,30%,COSCO,1550,2020/4/1,2020/6/30,465,
大连,不莱梅哈芬,40HC,30%,COSCO,1550,2020/4/1,2020/6/30,465,
大连,不莱梅哈芬,20GP,30%,COSCO,832,2020/7/1,2020/9/30,249.6,832
大连,不莱梅哈芬,40GP,30%,COSCO,1664,2020/7/1,2020/9/30,499.2,1664
大连,不莱梅哈芬,40HC,30%,COSCO,1664,2020/7/1,2020/9/30,499.2,1664
大连,不莱梅哈芬,20GP,20%,HAPAG-LLOYD,662.5,2020/1/1,2020/3/31,132.5,
大连,不莱梅哈芬,40HC,20%,HAPAG-LLOYD,1325,2020/1/1,2020/3/31,265,
大连,不莱梅哈芬,20GP,20%,HAPAG-LLOYD,662.5,2020/4/1,2020/6/30,132.5,
大连,不莱梅哈芬,40GP,20%,HAPAG-LLOYD,1325,2020/4/1,2020/6/30,265,
大连,不莱梅哈芬,40HC,20%,HAPAG-LLOYD,1325,2020/4/1,2020/6/30,265,
大连,不莱梅哈芬,20GP,20%,HAPAG-LLOYD,542.5,2020/7/1,2020/9/30,108.5,
大连,不莱梅哈芬,40GP,20%,HAPAG-LLOYD,1085,2020/7/1,2020/9/30,217,
大连,不莱梅哈芬,40HC,20%,HAPAG-LLOYD,1085,2020/7/1,2020/9/30,217,
大连,不莱梅哈芬,20GP,20%,HYNUNDAI,600,2020/1/1,2020/3/31,120,
大连,不莱梅哈芬,40HC,20%,HYNUNDAI,1200,2020/1/1,2020/3/31,240,
大连,不莱梅哈芬,20GP,20%,HYNUNDAI,616,2020/4/1,2020/6/30,123.2,
大连,不莱梅哈芬,40GP,20%,HYNUNDAI,1232,2020/4/1,2020/6/30,246.4,
大连,不莱梅哈芬,40HC,20%,HYNUNDAI,1232,2020/4/1,2020/6/30,246.4,
大连,不莱梅哈芬,20GP,20%,HYNUNDAI,536,2020/7/1,2020/9/30,107.2,
大连,不莱梅哈芬,40GP,20%,HYNUNDAI,1072,2020/7/1,2020/9/30,214.4,
大连,不莱梅哈芬,40HC,20%,HYNUNDAI,1072,2020/7/1,2020/9/30,214.4,
大连,不莱梅哈芬,20GP,30%,MAERSK,730,2020/1/1,2020/3/31,219,
大连,不莱梅哈芬,40HC,30%,MAERSK,1460,2020/1/1,2020/3/31,438,
大连,不莱梅哈芬,20GP,30%,MAERSK,752,2020/4/1,2020/6/30,225.6,
大连,不莱梅哈芬,40GP,30%,MAERSK,1504,2020/4/1,2020/6/30,451.2,
大连,不莱梅哈芬,40HC,30%,MAERSK,1504,2020/4/1,2020/6/30,451.2,
大连,不莱梅哈芬,20GP,30%,MAERSK,569.5,2020/7/1,2020/9/30,170.85,
大连,不莱梅哈芬,40GP,30%,MAERSK,1139,2020/7/1,2020/9/30,341.7,
大连,不莱梅哈芬,40HC,30%,MAERSK,1139,2020/7/1,2020/9/30,341.7,
大连,达曼,20GP,60%,APL,1015,2020/3/1,2020/6/30,609,
大连,达曼,40GP,60%,APL,1365,2020/3/1,2020/6/30,819,
大连,达曼,40HC,60%,APL,1365,2020/3/1,2020/6/30,819,
大连,达曼,20GP,60%,APL,877,2020/7/1,2020/9/30,526.2,
大连,达曼,40GP,60%,APL,1089,2020/7/1,2020/9/30,653.4,
大连,达曼,40HC,60%,APL,1089,2020/7/1,2020/9/30,653.4,
大连,达曼,20GP,40%,EVERGREEN,1100,2020/3/1,2020/6/30,440,
大连,达曼,40GP,40%,EVERGREEN,1400,2020/3/1,2020/6/30,560,
大连,达曼,40HC,40%,EVERGREEN,1400,2020/3/1,2020/6/30,560,
大连,达曼,20GP,40%,EVERGREEN,1100,2020/7/1,2020/9/30,440,
大连,达曼,40GP,40%,EVERGREEN,1400,2020/7/1,2020/9/30,560,
大连,达曼,40HC,40%,EVERGREEN,1400,2020/7/1,2020/9/30,560,
大连,大阪,20GP,20%,COSCO,345,2020/1/1,2020/2/29,69,
大连,大阪,40GP,20%,COSCO,535,2020/1/1,2020/2/29,107,
大连,大阪,40HC,20%,COSCO,535,2020/1/1,2020/2/29,107,
大连,大阪,20GP,70%,COSCO,385,2020/3/1,2021/2/28,269.5,
大连,大阪,40GP,70%,COSCO,535,2020/3/1,2021/2/28,374.5,
大连,大阪,40HC,70%,COSCO,535,2020/3/1,2021/2/28,374.5,
大连,大阪,20GP,80%,SITC,310,2020/1/1,2020/2/29,248,
大连,大阪,40GP,80%,SITC,510,2020/1/1,2020/2/29,408,
大连,大阪,40HC,80%,SITC,510,2020/1/1,2020/2/29,408,
大连,大阪,20GP,30%,SITC,370,2020/3/1,2021/2/28,111,
大连,大阪,40GP,30%,SITC,630,2020/3/1,2021/2/28,189,
大连,大阪,40HC,30%,SITC,630,2020/3/1,2021/2/28,189,
大连,东京,20GP,50%,COSCO,315,2020/1/1,2020/2/29,157.5,
大连,东京,40GP,50%,COSCO,495,2020/1/1,2020/2/29,247.5,
大连,东京,40HC,50%,COSCO,495,2020/1/1,2020/2/29,247.5,
大连,东京,20GP,100%,COSCO,355,2020/3/1,2021/2/28,355,
大连,东京,40GP,100%,COSCO,495,2020/3/1,2021/2/28,495,
大连,东京,40HC,100%,COSCO,495,2020/3/1,2021/2/28,495,
大连,东京,20GP,50%,SITC,310,2020/1/1,2020/2/29,155,
大连,东京,40GP,50%,SITC,510,2020/1/1,2020/2/29,255,
大连,东京,40HC,50%,SITC,510,2020/1/1,2020/2/29,255,
大连,费立克斯托,20GP,70%,EVERGREEN,600,2020/1/1,2020/3/31,420,
大连,费立克斯托,40HC,70%,EVERGREEN,1200,2020/1/1,2020/3/31,840,
大连,费立克斯托,20GP,70%,EVERGREEN,600,2020/4/1,2020/6/30,420,
大连,费立克斯托,40GP,70%,EVERGREEN,1200,2020/4/1,2020/6/30,840,
大连,费立克斯托,40HC,70%,EVERGREEN,1200,2020/4/1,2020/6/30,840,
大连,费立克斯托,20GP,70%,EVERGREEN,600,2020/7/1,2020/9/30,420,
大连,费立克斯托,40GP,70%,EVERGREEN,1200,2020/7/1,2020/9/30,840,
大连,费立克斯托,40HC,70%,EVERGREEN,1200,2020/7/1,2020/9/30,840,
大连,费立克斯托,20GP,30%,MSC,712.5,2020/1/1,2020/3/31,213.75,
大连,费立克斯托,40HC,30%,MSC,1425,2020/1/1,2020/3/31,427.5,
大连,费立克斯托,20GP,30%,MSC,749.5,2020/4/1,2020/6/30,224.85,
大连,费立克斯托,40GP,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
大连,费立克斯托,40HC,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
大连,费立克斯托,20GP,30%,MSC,551.5,2020/7/1,2020/9/30,165.45,
大连,费立克斯托,40GP,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
大连,费立克斯托,40HC,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
大连,符拉迪沃斯托克,20GP,100%,CMA,655,2020/1/1,2020/3/31,655,
大连,符拉迪沃斯托克,40GP,100%,CMA,1005,2020/1/1,2020/3/31,1005,
大连,符拉迪沃斯托克,40HC,100%,CMA,1005,2020/1/1,2020/3/31,1005,
大连,符拉迪沃斯托克,20GP,100%,CMA,670,2020/4/1,2020/6/30,670,
大连,符拉迪沃斯托克,40GP,100%,CMA,1035,2020/4/1,2020/6/30,1035,
大连,符拉迪沃斯托克,40HC,100%,CMA,1035,2020/4/1,2020/6/30,1035,
大连,符拉迪沃斯托克,20GP,100%,CMA,625,2020/7/1,2020/9/30,625,
大连,符拉迪沃斯托克,40GP,100%,CMA,945,2020/7/1,2020/9/30,945,
大连,符拉迪沃斯托克,40HC,100%,CMA,945,2020/7/1,2020/9/30,945,
大连,高松港,40HC,100%,中亚宝丰国际物流有限公司,575,2020/4/1,2020/4/15,575,
大连,高松港,40GP,100%,中亚宝丰国际物流有限公司,1030,2020/4/16,2020/4/30,1030,
大连,高松港,40HC,100%,中亚宝丰国际物流有限公司,1030,2020/4/16,2020/4/30,1030,
大连,高雄,20GP,100%,EVERGREEN,160,2020/1/1,2020/2/29,160,
大连,高雄,40GP,100%,EVERGREEN,320,2020/1/1,2020/2/29,320,
大连,高雄,40HC,100%,EVERGREEN,320,2020/1/1,2020/2/29,320,
大连,高雄,20GP,60%,EVERGREEN,150,2020/3/1,2020/6/30,90,
大连,高雄,40GP,60%,EVERGREEN,300,2020/3/1,2020/6/30,180,
大连,高雄,40HC,60%,EVERGREEN,300,2020/3/1,2020/6/30,180,
大连,高雄,20GP,60%,EVERGREEN,150,2020/7/1,2020/9/30,90,
大连,高雄,40GP,60%,EVERGREEN,300,2020/7/1,2020/9/30,180,
大连,高雄,40HC,60%,EVERGREEN,300,2020/7/1,2020/9/30,180,
大连,高雄,20GP,40%,OOCL,240,2020/3/1,2020/6/30,96,
大连,高雄,40GP,40%,OOCL,350,2020/3/1,2020/6/30,140,
大连,高雄,40HC,40%,OOCL,350,2020/3/1,2020/6/30,140,
大连,高雄,20GP,40%,OOCL,240,2020/7/1,2020/9/30,96,
大连,高雄,40GP,40%,OOCL,350,2020/7/1,2020/9/30,140,
大连,高雄,40HC,40%,OOCL,350,2020/7/1,2020/9/30,140,
大连,高知,20GP,100%,鹤程海连国际货运代理,550,2020/3/1,2020/3/31,550,
大连,高知,40GP,100%,鹤程海连国际货运代理,0,2020/3/1,2020/3/31,0,
大连,高知,40HC,100%,鹤程海连国际货运代理,0,2020/3/1,2020/3/31,0,
大连,格丹斯克,20GP,30%,CMA,690,2020/1/1,2020/3/31,207,
大连,格丹斯克,40GP,30%,CMA,1380,2020/1/1,2020/3/31,414,
大连,格丹斯克,40HC,30%,CMA,1380,2020/1/1,2020/3/31,414,
大连,格丹斯克,20GP,30%,CMA,705,2020/4/1,2020/6/30,211.5,
大连,格丹斯克,40GP,30%,CMA,1410,2020/4/1,2020/6/30,423,
大连,格丹斯克,40HC,30%,CMA,1410,2020/4/1,2020/6/30,423,
大连,格丹斯克,20GP,30%,CMA,675,2020/7/1,2020/9/30,202.5,
大连,格丹斯克,40GP,30%,CMA,1350,2020/7/1,2020/9/30,405,
大连,格丹斯克,40HC,30%,CMA,1350,2020/7/1,2020/9/30,405,
大连,格丹斯克,20GP,40%,COSCO,650,2020/1/1,2020/3/31,260,
大连,格丹斯克,40GP,40%,COSCO,1300,2020/1/1,2020/3/31,520,
大连,格丹斯克,40HC,40%,COSCO,1300,2020/1/1,2020/3/31,520,
大连,格丹斯克,20GP,40%,COSCO,650,2020/4/1,2020/6/30,260,
大连,格丹斯克,40GP,40%,COSCO,1300,2020/4/1,2020/6/30,520,
大连,格丹斯克,40HC,40%,COSCO,1300,2020/4/1,2020/6/30,520,
大连,格丹斯克,20GP,40%,COSCO,707,2020/7/1,2020/9/30,282.8,707
大连,格丹斯克,40GP,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
大连,格丹斯克,40HC,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
大连,格丹斯克,20GP,30%,MSC,712.5,2020/1/1,2020/3/31,213.75,
大连,格丹斯克,40GP,30%,MSC,1425,2020/1/1,2020/3/31,427.5,
大连,格丹斯克,40HC,30%,MSC,1425,2020/1/1,2020/3/31,427.5,
大连,格丹斯克,20GP,30%,MSC,749.5,2020/4/1,2020/6/30,224.85,
大连,格丹斯克,40GP,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
大连,格丹斯克,40HC,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
大连,格丹斯克,20GP,30%,MSC,551.5,2020/7/1,2020/9/30,165.45,
大连,格丹斯克,40GP,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
大连,格丹斯克,40HC,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
大连,广岛,20GP,100%,KAMBARA,660,2020/1/1,2020/2/29,660,
大连,广岛,40GP,100%,KAMBARA,810,2020/1/1,2020/2/29,810,
大连,广岛,40HC,100%,KAMBARA,1070,2020/1/1,2020/2/29,1070,
大连,广岛,20GP,100%,KAMBARA,715,2020/3/1,2021/2/28,715,
大连,广岛,40GP,100%,KAMBARA,1180,2020/3/1,2021/2/28,1180,
大连,广岛,40HC,100%,KAMBARA,1180,2020/3/1,2021/2/28,1180,
